#000000,#111111,#FFFF00
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0
0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0
0,0,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0
0,2,0,2,0,2,0,2,2,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
2,0,2,0,2,0,2,0,0,0,2,0,2,0,2,0,2
2,2,0,2,2,2,0,2,0,2,0,2,2,2,0,2,2
2,2,2,0,2,2,2,0,2,0,2,2,2,0,2,2,2
2,2,2,2,0,2,0,2,2,2,0,2,0,2,2,2,2
2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2
2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2
2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2
